FIR_No,Crime_Type,District,Police_Station,Date,Victim_Name,Victim_Age,Victim_Gender,Suspect_Name,Weapon,Status,Latitude,Longitude,Severity
FIR1000,Drug Trafficking,Kalaburagi,West,2025-04-17,Bachittar Mandal,40,Male,Anya Iyengar,Unknown,Closed,12.243046,76.116827,1
FIR1001,Burglary,Shivamogga,East,2024-07-20,Lipika Gera,65,Male,Warhi Kalita,None,Under Investigation,12.709003,75.080392,7
FIR1002,Theft,Shivamogga,Market,2024-11-26,Advaith Wagle,18,Male,Tripti Kar,Unknown,Under Investigation,11.566208,74.50689,3
FIR1003,Assault,Belagavi,Traffic,2025-08-14,Ishita Bumb,35,Female,Rachita Edwin,Gun,Under Investigation,15.050993,77.881131,9
FIR1004,Burglary,Shivamogga,Traffic,2025-05-26,Tara Bhakta,31,Female,Daniel Mahal,None,Closed,17.761898,74.248339,2
FIR1005,Theft,Mysuru,West,2026-04-18,Kashish Kapur,27,Male,Xalak Dugar,Vehicle,Closed,12.527287,77.866974,1
FIR1006,Burglary,Vijayapura,North,2025-08-28,Tanveer Grewal,40,Male,Rohan Ahluwalia,Gun,Open,14.500434,78.752921,7
FIR1007,Vehicle Theft,Mangaluru,Central,2024-12-19,Warjas Gour,49,Female,Samuel Gill,Unknown,Under Investigation,11.741066,75.63798,9
FIR1008,Fraud,Ballari,West,2026-05-07,Ganga Misra,25,Female,Inaya Kari,Knife,Open,14.895565,76.249254,2
FIR1009,Vehicle Theft,Mysuru,Market,2026-05-10,Noah Chauhan,70,Female,Orinder Varty,Gun,Closed,13.014823,76.994301,5
FIR1010,Cyber Crime,Shivamogga,North,2024-10-09,Nitesh Murty,67,Female,David Sengupta,Vehicle,Open,17.026319,76.450066,8
FIR1011,Assault,Mangaluru,East,2024-11-26,Aachal Raman,47,Female,Odika Saini,Rod,Closed,13.310194,77.445603,1
FIR1012,Kidnapping,Bengaluru Urban,South,2026-01-02,Niharika Narasimhan,29,Female,Niharika Sundaram,Rod,Open,14.382377,77.205373,5
FIR1013,Assault,Bengaluru Urban,South,2024-08-17,Abdul Karpe,56,Male,Chameli Pillai,None,Open,12.073775,76.310559,10
